Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2005,Elton Brand,81,11.1,900,807,55.8,2.7
2010,Brook Lopez,82,11.1,912,811,56.2,0.8
2009,Zach Randolph,50,11.0,550,493,55.8,1.3
1999,Shareef Abdur-Rahim,50,11.0,552,583,47.3,-4.5
2016,Anthony Davis,61,11.0,668,578,57.8,3.8
2022,Luka Doncic,65,11.0,718,619,58,1.4
2022,Rudy Gobert,66,11.0,724,503,72,15.3
2021,Rudy Gobert,71,11.0,780,568,68.7,12.6
2000,Tim Duncan,74,11.0,812,772,52.6,-0.4
2016,Greg Monroe,79,11.0,872,803,54.3,0.3
2014,Greg Monroe,82,11.0,902,848,53.2,-0.9
1999,Gary Payton,50,10.9,546,487,56.1,4.2
2002,Chris Webber,54,10.9,586,524,55.9,3.3
2020,Bradley Beal,57,10.9,622,551,56.4,0.8
2021,Ben Simmons,58,10.9,630,552,57.1,1
2011,Carlos Boozer,59,10.9,642,572,56.1,1.7
2012,Greg Monroe,66,10.9,718,663,54.1,0.7
2015,LeBron James,69,10.9,754,597,63.1,9.6
2010,Carmelo Anthony,69,10.9,750,709,52.9,-2.5
2020,Jonas Valanciunas,70,10.9,764,593,64.4,8.8
2010,Chris Bosh,70,10.9,760,662,57.4,2
2002,Jermaine O'Neal,72,10.9,788,713,55.3,2.6
2019,Russell Westbrook,73,10.9,796,708,56.2,0.7
2009,David Lee,81,10.9,884,723,61.1,6.7
2017,Andre Drummond,81,10.9,882,798,55.3,0.1
2020,Karl-Anthony Towns,35,10.8,378,300,63,7.4
2012,Nikola Pekovic,47,10.8,508,438,58,4.6
2019,Jonas Valanciunas,49,10.8,528,438,60.3,4.7
2021,Karl-Anthony Towns,50,10.8,538,458,58.7,2.6
2020,Julius Randle,64,10.8,688,635,54.2,-1.5
2020,Collin Sexton,65,10.8,700,669,52.3,-3.3
2008,Pau Gasol,66,10.8,716,590,60.7,6.2
2000,Allen Iverson,70,10.8,758,753,50.3,-2.6
2001,Allen Iverson,71,10.8,770,782,49.2,-2.8
1998,David Robinson,73,10.8,792,685,57.8,4.5
2022,Jonas Valanciunas,74,10.8,800,669,59.8,3.2
2005,Allen Iverson,75,10.8,812,792,51.3,-1.8
2000,Alonzo Mourning,79,10.8,856,674,63.5,10.5
2006,Tim Duncan,80,10.8,862,779,55.3,1.5
2021,Jimmy Butler,52,10.7,554,483,57.3,1.2
2009,Amar'e Stoudemire,53,10.7,568,479,59.3,4.9
2020,Pascal Siakam,60,10.7,642,586,54.8,-0.9
2019,Zach LaVine,63,10.7,674,610,55.2,-0.3
2020,Ja Morant,67,10.7,716,683,52.4,-3.2
2020,James Harden,68,10.7,726,651,55.8,0.1
2019,Blake Griffin,75,10.7,806,714,56.4,0.9
2005,Antoine Walker,77,10.7,826,871,47.4,-5.7
2010,Josh Smith,81,10.7,866,739,58.6,3.2
1997,Shawn Kemp,81,10.7,868,782,55.5,3.5
2006,Dwight Howard,82,10.7,880,772,57,3.1
2008,Andrew Bynum,35,10.6,370,279,66.3,11.8
2009,Andrew Bynum,50,10.6,530,457,58,3.6
2021,Kyrie Irving,54,10.6,570,502,56.8,0.7
2022,Jusuf Nurkic,56,10.6,594,515,57.7,1
2008,Shaquille O'Neal,61,10.6,646,530,60.9,6.5
2021,Ja Morant,63,10.6,666,660,50.5,-5.7
2011,Andrew Bogut,65,10.6,690,660,52.3,-2.2
2015,Blake Griffin,67,10.6,710,600,59.2,5.7
2004,Elton Brand,69,10.6,728,668,54.5,2.5
2013,Thaddeus Young,76,10.6,806,685,58.8,5.1
2008,Carmelo Anthony,77,10.6,818,705,58,3.6
2011,Tony Parker,78,10.6,824,690,59.7,5.2
2004,Pau Gasol,78,10.6,828,793,52.2,0.2
2014,Thaddeus Young,79,10.6,836,771,54.2,0.2
2002,Elton Brand,80,10.6,848,756,56.1,3.4
2014,Kevin Durant,81,10.6,862,688,62.6,8.6
2002,Gary Payton,82,10.6,868,796,54.5,1.9
2021,T.J. Warren,4,10.5,42,27,77.8,21.7
2020,Kyrie Irving,20,10.5,210,190,55.3,-0.4
2017,Jabari Parker,51,10.5,536,460,58.3,3.1
2021,Richaun Holmes,61,10.5,640,479,66.8,10.7
2012,DeMarcus Cousins,64,10.5,670,703,47.7,-5.8
2015,Al Jefferson,65,10.5,684,643,53.2,-0.3
2019,Enes Freedom,67,10.5,702,598,58.7,3.1
2010,Al Jefferson,76,10.5,796,668,59.6,4.2
2002,Shareef Abdur-Rahim,77,10.5,810,776,52.2,-0.5
2019,Pascal Siakam,80,10.5,838,683,61.3,5.8
2022,Miles Bridges,80,10.5,840,689,61,4.3
2016,Giannis Antetokounmpo,80,10.5,836,706,59.2,5.2
2008,Monta Ellis,81,10.5,848,682,62.2,7.7
2018,Karl-Anthony Towns,82,10.5,858,699,61.4,6
2011,Pau Gasol,82,10.5,858,778,55.1,0.7
1997,Chris Gatling,47,10.4,488,426,57.3,5.3
2014,Dwyane Wade,54,10.4,564,440,64.1,10
2020,Andrew Wiggins,54,10.4,560,508,55.1,-0.5
2022,Jimmy Butler,57,10.4,594,517,57.4,0.8
2020,Nikola Vucevic,62,10.4,644,569,56.6,0.9
2012,Tyreke Evans,63,10.4,656,606,54.1,0.7
2007,Gerald Wallace,72,10.4,746,660,56.5,1.8
2020,Nikola Jokic,73,10.4,762,587,64.9,9.3
2000,Grant Hill,74,10.4,768,654,58.7,5.8
2019,DeMar DeRozan,77,10.4,800,715,55.9,0.4
2018,Jusuf Nurkic,79,10.4,822,761,54,-1.3
2001,Gary Payton,79,10.4,818,771,53,1
2014,Zach Randolph,79,10.4,820,819,50.1,-4
2014,Kenneth Faried,80,10.4,832,715,58.2,4.1
2007,Ruben Patterson,81,10.4,842,720,58.5,3.7
2005,Metta World Peace,7,10.3,72,60,60,6.9
2022,Bradley Beal,40,10.3,412,396,52,-4.6
2020,Derrick Rose,50,10.3,516,459,56.2,0.6
2021,Joel Embiid,51,10.3,526,460,57.2,1.1
2002,Donyell Marshall,58,10.3,598,518,57.7,5.1
2016,Derrick Favors,62,10.3,640,528,60.6,6.6
2005,Tim Duncan,66,10.3,682,635,53.7,0.6
2021,Thaddeus Young,68,10.3,702,588,59.7,3.6
2001,Kobe Bryant,68,10.3,702,613,57.3,5.2
2016,Dwight Howard,71,10.3,728,573,63.5,9.5
2015,Brook Lopez,72,10.3,744,673,55.3,1.8
2019,Jusuf Nurkic,72,10.3,744,690,53.9,-1.6
2004,Eddy Curry,73,10.3,750,707,53,1
2015,Derrick Favors,74,10.3,762,637,59.8,6.3
2017,DeMar DeRozan,74,10.3,760,673,56.5,1.3
2019,JaVale McGee,75,10.3,776,597,65,9.4
2003,Kenyon Martin,77,10.3,792,711,55.7,3.2
2007,Shawn Marion,80,10.3,822,628,65.4,10.7
2016,Russell Westbrook,80,10.3,822,767,53.6,-0.4
2019,LaMarcus Aldridge,81,10.3,834,705,59.1,3.6
2011,Russell Westbrook,82,10.3,844,846,49.9,-4.6
1999,Shawn Kemp,42,10.2,430,416,51.7,-0.2
2018,Hassan Whiteside,54,10.2,550,474,58,2.7
2021,Jaylen Brown,58,10.2,594,543,54.7,-1.4
2002,Allen Iverson,60,10.2,610,631,48.3,-4.3
2020,Jrue Holiday,61,10.2,622,585,53.2,-2.5
2021,Tobias Harris,62,10.2,630,545,57.8,1.7
2004,Kenyon Martin,65,10.2,660,588,56.1,4.1
