Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2022,LaMelo Ball,75,10.1,760,696,54.6,4.4
2017,Mike Conley,69,10.1,697,616,56.6,8.3
2009,Peja Stojakovic,61,10.1,615,620,49.6,3.2
2007,Ricky Davis,81,10.1,818,804,50.9,5.4
2008,Stephen Jackson,73,10.1,736,788,46.7,0.6
2007,Steve Nash,76,10.1,764,635,60.2,14.7
2019,Tim Hardaway Jr.,65,10.1,654,675,48.4,-1.1
2002,Tracy McGrady,76,10.1,767,889,43.1,-0.7
2019,Victor Oladipo,36,10.1,364,382,47.6,-1.9
2011,Andrea Bargnani,66,10.0,657,705,46.6,0.7
2005,Baron Davis,46,10.0,458,503,45.5,1.1
2021,Carmelo Anthony,69,10.0,687,652,52.7,0.9
2021,Chris Paul,70,10.0,700,636,55,3.2
2021,Evan Fournier,42,10.0,418,359,58.2,6.4
2014,Gerald Green,82,10.0,821,780,52.6,5.9
2010,Jason Terry,77,10.0,772,772,50,4.4
2011,Jason Terry,82,10.0,819,816,50.2,4.2
1999,John Starks,50,10.0,500,611,40.9,-1.1
2016,Kawhi Leonard,72,10.0,721,677,53.2,6.1
2011,Kevin Martin,80,10.0,802,840,47.7,1.8
2010,LeBron James,76,10.0,763,867,44,-1.6
2018,Lou Williams,79,10.0,791,781,50.6,1.2
1997,Mahmoud Abdul-Rauf,75,10.0,747,812,46,3.1
2002,Michael Finley,69,10.0,688,778,44.2,0.4
2004,Mike Bibby,82,10.0,818,809,50.6,7.4
2001,Mitch Richmond,37,10.0,371,395,47,3.5
2008,Mo Williams,66,10.0,661,607,54.4,8.4
2015,Mo Williams,68,10.0,683,725,47.1,0.8
2017,Nick Young,60,10.0,601,532,56.5,8.2
2006,Rasheed Wallace,80,10.0,801,820,48.8,3.7
1998,Tracy Murray,82,10.0,817,784,52.1,9.2
2022,Anthony Edwards,72,9.9,716,703,50.9,0.7
2010,Carmelo Anthony,69,9.9,685,793,43.2,-2.4
2006,Chauncey Billups,81,9.9,805,756,53.2,8.1
2020,Evan Fournier,66,9.9,656,583,56.3,5.8
2021,Joe Harris,69,9.9,681,500,68.1,16.3
2010,Joe Johnson,76,9.9,751,772,48.6,3
2013,Joe Johnson,72,9.9,712,710,50.1,4
2018,Kyle Lowry,78,9.9,772,679,56.8,7.4
2021,Kyle Lowry,46,9.9,457,413,55.3,3.5
2021,Marcus Morris Sr.,57,9.9,562,442,63.6,11.8
2018,MarShon Brooks,7,9.9,69,52,66.3,16.9
2007,Mo Williams,68,9.9,675,698,48.4,2.9
2006,Paul Pierce,79,9.9,782,823,47.5,2.4
2011,Ray Allen,80,9.9,792,689,57.5,11.5
2001,Sam Cassell,76,9.9,752,801,46.9,3.4
2006,Sam Cassell,78,9.9,770,835,46.1,1
1998,Tim Hardaway,81,9.9,802,843,47.6,4.7
2005,Damon Jones,82,9.8,801,659,60.8,16.4
2001,Darrell Armstrong,75,9.8,733,753,48.7,5.2
2018,Eric Gordon,69,9.8,675,640,52.7,3.3
2019,Eric Gordon,68,9.8,664,620,53.5,4
2000,Jamal Mashburn,76,9.8,744,761,48.9,5.2
2014,James Harden,73,9.8,713,706,50.5,3.7
2021,Kawhi Leonard,52,9.8,507,481,52.7,0.9
2016,Kemba Walker,81,9.8,791,825,47.9,0.8
2019,Khris Middleton,77,9.8,753,722,52.1,2.6
