Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Seth Curry,64,160,2.5,136,58.8,2.2,11.2,64,718,603,59.5,9.3,3.8,244,230,53,12.4
2022,2022 Shai Gilgeous-Alexander,56,672,12,636,52.8,-3.8,6.6,56,371,416,44.6,-5.6,1.9,104,119,43.7,3.1
2022,2022 Shake Milton,55,228,4.1,218,52.3,-4.3,2.9,55,161,184,43.8,-6.5,0.6,32,53,30.2,-10.5
2022,2022 Shaq Buchanan,2,2,1,2,50,-6.6,0.0,2,0,2,0,-50.2,0,0,0,0,0
2022,2022 Shaquille Harrison,2,4,2,4,50,-6.6,0.0,2,0,2,0,-50.2,0,0,0,0,0
2022,2022 Sharife Cooper,13,4,0.3,8,25,-31.6,0.2,13,3,6,25,-25.2,0,0,0,0,0
2022,2022 Skylar Mays,28,42,1.5,35,60,3.4,1.1,28,30,29,51.7,1.5,0.2,6,4,75,34.4
2022,2022 Solomon Hill,13,2,0.2,7,14.3,-42.3,0.5,13,6,12,25,-25.2,0,0,0,0,0
2022,2022 Spencer Dinwiddie,67,326,4.9,325,50.2,-6.5,5.9,67,398,409,48.7,-1.6,0.9,62,80,38.8,-1.9
2022,2022 Stanley Johnson,48,150,3.1,129,58.1,1.5,2.4,48,117,122,48,-2.3,0.4,18,18,50,9.4
2022,2022 Stephen Curry,64,382,6,341,56,-0.6,15.2,64,973,878,55.4,5.2,1.8,118,134,44,3.4
2022,2022 Sterling Brown,49,52,1.1,52,50,-6.6,1.9,49,94,102,46.1,-4.1,0.2,10,12,41.7,1
2022,2022 Steven Adams,76,414,5.4,374,55.3,-1.3,0.1,76,6,9,33.3,-16.9,0.1,6,9,33.3,-7.3
2022,2022 Svi Mykhailiuk,56,86,1.5,80,53.8,-2.9,2.4,56,137,154,44.5,-5.7,0.3,14,21,33.3,-7.3
2022,2022 T.J. McConnell,27,152,5.6,136,55.9,-0.7,2.1,27,58,70,41.4,-8.8,1,28,39,35.9,-4.7
2022,2022 Tacko Fall,11,10,0.9,12,41.7,-15,0.0,11,0,0,0,0,0,0,0,0,0
2022,2022 Taj Gibson,52,122,2.3,100,61,4.4,1.3,52,65,66,49.2,-1,0.4,20,28,35.7,-4.9
2022,2022 Talen Horton-Tucker,60,308,5.1,292,52.7,-3.9,3.2,60,189,246,38.4,-11.8,0.7,42,65,32.3,-8.3
2022,2022 Taurean Prince,69,150,2.2,128,58.6,2,4.2,69,288,260,55.4,5.2,0.5,36,37,48.6,8
2022,2022 Terance Mann,81,448,5.5,381,58.8,2.2,3.7,81,296,305,48.5,-1.7,0.8,68,101,33.7,-7
2022,2022 Terence Davis,30,114,3.8,102,55.9,-0.7,5.4,30,161,164,49.1,-1.1,0.5,14,16,43.8,3.1
2022,2022 Terrence Ross,63,178,2.8,158,56.3,-0.3,5.4,63,339,392,43.2,-7,1.7,108,133,40.6,0
2022,2022 Terry Rozier,73,472,6.5,444,53.2,-3.5,10.8,73,786,720,54.6,4.4,1.6,120,131,45.8,5.2
2022,2022 Terry Taylor,33,238,7.2,174,68.4,11.8,1.3,33,44,45,48.9,-1.3,0.2,8,8,50,9.4
2022,2022 Thaddeus Young,52,238,4.6,211,56.4,-0.2,1.2,52,61,61,50,-0.2,0.2,10,13,38.5,-2.2
2022,2022 Thanasis Antetokounmpo,48,132,2.8,109,60.6,3.9,0.2,48,10,18,27.8,-22.4,0.1,4,5,40,-0.6
2022,2022 Theo Maledon,51,142,2.8,154,46.1,-10.5,2.7,51,140,163,42.9,-7.3,0.2,8,13,30.8,-9.9
2022,2022 Theo Pinson,19,4,0.2,6,33.3,-23.3,1.8,19,34,33,51.5,1.3,0.2,4,3,66.7,26
2022,2022 Thomas Bryant,27,110,4.1,83,66.3,9.6,2.1,27,56,65,43.1,-7.1,0.7,20,23,43.5,2.8
2022,2022 Tim Frazier,12,10,0.8,14,35.7,-20.9,2.0,12,24,31,38.7,-11.5,0.5,6,14,21.4,-19.2
2022,2022 Tim Hardaway Jr.,42,116,2.8,110,52.7,-3.9,9.6,42,402,416,48.3,-1.9,2.4,102,119,42.9,2.2
2022,2022 Timothe Luwawu-Cabarrot,52,56,1.1,58,48.3,-8.4,2.6,52,136,128,53.1,2.9,0.1,4,6,33.3,-7.3
2022,2022 Tobias Harris,73,682,9.3,621,54.9,-1.7,5.5,73,404,400,50.5,0.3,1.4,104,127,40.9,0.3
2022,2022 Tomas Satoransky,55,98,1.8,105,46.7,-10,1.0,55,57,83,34.3,-15.9,0.4,24,33,36.4,-4.3
2022,2022 Tony Bradley,55,132,2.4,111,59.5,2.8,0.2,55,12,12,50,-0.2,0.2,12,12,50,9.4
2022,2022 Tony Snell,53,40,0.8,36,55.6,-1.1,2.7,53,143,135,53,2.8,0.2,8,8,50,9.4
2022,2022 Torrey Craig,78,226,2.9,175,64.6,7.9,3.2,78,251,264,47.5,-2.7,0.3,20,32,31.3,-9.4
2022,2022 Trae Young,76,676,8.9,669,50.5,-6.1,12.9,76,979,874,56,5.8,3.7,280,265,52.8,12.2
2022,2022 Trayvon Palmer,1,0,0,1,0,-56.6,0.0,1,0,0,0,0,0,0,0,0,0
