Season,Team,Opponent eFG%,Opponent TS%
2006-07,IND,49.1,54.1
2005-06,IND,46.4,50.9
2004-05,IND,47.2,52.1
2003-04,IND,45.9,50.4
2002-03,IND,45.8,50.6
2001-02,IND,46.9,51.4
2000-01,IND,45.2,50.1
1999-00,IND,46.9,50.9
1998-99,IND,46.0,50.8
1997-98,IND,45.3,50.0
1996-97,IND,48.0,52.9
1995-96,IND,49.1,53.9
1994-95,IND,49.3,53.5
1993-94,IND,47.1,52.1
1992-93,IND,48.5,53.6
1991-92,IND,48.3,53.4
1990-91,IND,50.3,54.7
1989-90,IND,49.4,54.0
1988-89,IND,47.8,53.3
1987-88,IND,48.1,53.1
1986-87,IND,48.7,54.0
1985-86,IND,47.9,53.3
1984-85,IND,49.9,55.1
1983-84,IND,49.7,54.4
1982-83,IND,52.0,56.3
1981-82,IND,49.4,53.3
1980-81,IND,49.2,53.9
1979-80,IND,49.3,53.6
1978-79,IND,47.8,52.8
1977-78,IND,47.4,52.1
1976-77,IND,47.2,51.6
1984-85,KCK,51.4,56.1
1983-84,KCK,50.5,55.3
1982-83,KCK,49.0,54.0
1981-82,KCK,50.4,55.4
1980-81,KCK,48.3,53.4
1979-80,KCK,47.9,53.2
1978-79,KCK,48.6,54.2
1977-78,KCK,47.4,52.6
1976-77,KCK,47.2,52.4
2021-22,LAC,51.4,54.6
2020-21,LAC,53.1,56.4
2019-20,LAC,50.6,54.4
2018-19,LAC,51.4,55.5
2017-18,LAC,52.0,55.7
2016-17,LAC,50.6,54.6
2015-16,LAC,48.0,52.3
2014-15,LAC,49.3,53.5
2013-14,LAC,48.4,52.7
2012-13,LAC,49.2,53.5
2011-12,LAC,49.2,53.7
2010-11,LAC,49.9,54.6
2009-10,LAC,50.9,54.8
2008-09,LAC,51.2,55.3
2007-08,LAC,50.3,54.6
2006-07,LAC,48.8,53.4
2005-06,LAC,47.1,51.6
2004-05,LAC,48.0,52.6
2003-04,LAC,49.4,53.6
2002-03,LAC,48.1,52.5
2001-02,LAC,47.7,51.5
2000-01,LAC,46.6,50.9
1999-00,LAC,50.7,54.6
1998-99,LAC,50.3,55.2
1997-98,LAC,49.8,54.1
1996-97,LAC,49.9,54.7
1995-96,LAC,51.2,56.0
1994-95,LAC,52.6,57.3
1993-94,LAC,49.4,53.1
1992-93,LAC,48.9,53.9
1991-92,LAC,47.5,52.3
1990-91,LAC,48.1,53.1
1989-90,LAC,48.9,53.6
1988-89,LAC,49.7,54.2
1987-88,LAC,48.6,53.4
1986-87,LAC,52.6,56.8
1985-86,LAC,51.2,55.1
1984-85,LAC,49.5,53.5
2021-22,LAL,54.0,57.1
2020-21,LAL,52.6,55.9
2019-20,LAL,51.5,55.4
2018-19,LAL,51.6,55.2
2017-18,LAL,51.4,54.9
2016-17,LAL,54.2,57.7
2015-16,LAL,52.3,55.6
2014-15,LAL,51.8,55.7
2013-14,LAL,51.3,54.6
2012-13,LAL,49.6,52.6
2011-12,LAL,47.6,50.7
2010-11,LAL,47.7,51.4
2009-10,LAL,48.4,52.2
2008-09,LAL,49.0,53.0
2007-08,LAL,48.5,52.6
2006-07,LAL,50.0,54.8
2005-06,LAL,48.6,53.1
2004-05,LAL,49.3,53.6
2003-04,LAL,47.1,51.5
2002-03,LAL,47.7,52.4
2001-02,LAL,45.3,50.2
2000-01,LAL,46.8,51.5
1999-00,LAL,44.3,49.0
1998-99,LAL,46.8,51.6
1997-98,LAL,46.7,51.4
1996-97,LAL,47.8,52.0
1995-96,LAL,49.1,52.8
1994-95,LAL,50.0,53.7
1993-94,LAL,49.2,53.4
1992-93,LAL,50.0,53.9
1991-92,LAL,49.3,52.9
1990-91,LAL,47.4,51.0
1989-90,LAL,47.9,52.1
1988-89,LAL,48.2,52.2
1987-88,LAL,48.4,52.5
1986-87,LAL,47.6,52.1
1985-86,LAL,48.4,52.9
1984-85,LAL,48.5,52.7
1983-84,LAL,48.7,53.1
1982-83,LAL,49.4,52.8
1981-82,LAL,49.3,52.6
1980-81,LAL,46.8,50.9
1979-80,LAL,47.5,51.2
1978-79,LAL,48.4,51.8
1977-78,LAL,46.3,50.2
1976-77,LAL,45.2,49.3
2021-22,MEM,52.3,55.8
2020-21,MEM,53.5,57.0
2019-20,MEM,52.1,56.1
2018-19,MEM,52.1,56.3
2017-18,MEM,52.9,57.3
2016-17,MEM,50.6,55.1
2015-16,MEM,51.8,56.3
2014-15,MEM,49.2,52.6
2013-14,MEM,49.7,53.5
2012-13,MEM,47.5,51.6
2011-12,MEM,48.5,52.9
2010-11,MEM,50.2,54.5
2009-10,MEM,52.0,55.6
